id,course_code,course_title
0,ABLD 3A03,Critical Contemporary Issues in Latin American and Latinx Studies
1,ABLD 3BA3,"Topics in Black, African and African Diaspora Studies"
2,ABLD 3CD3,Topics in the Black Caribbean and its Diasporas
3,ANTHROP 1AA3,"Introduction to Anthropology: Sex, Food and Death"
4,ANTHROP 1AB3,"Introduction to Anthropology: Race, Religion, and Social Justice"
5,ANTHROP 2AN3,Food and Nutrition in Society
6,ANTHROP 2BB3,Ancient Mesoamerica: Aztecs to Zapotecs
7,ANTHROP 2C03,Archaeology of Environmental Crisis and Response
8,ANTHROP 2D03,23 and You: The Archaeology of your DNA
9,ANTHROP 2DA3,Traditional Indigenous Ecological Knowledge
10,ANTHROP 2E03,Introduction to Biological Anthropology
11,ANTHROP 2EE3,Sport and/as Religion
12,ANTHROP 2F03,Introduction to Sociocultural Anthropology: Listening Across Difference
13,ANTHROP 2FF3,Human Skeletal Biology and Bioarchaeology
14,ANTHROP 2G03,Readings in Indo-European Myth
15,ANTHROP 2HE3,"Heritage, Economy, and Ethics"
16,ANTHROP 2HI3,Medical Anthropology
17,ANTHROP 2MA3,Art and Activism
18,ANTHROP 2O03,Local and Regional North American Archaeology
19,ANTHROP 2PA3,Introduction to Anthropological Archaeology
20,ANTHROP 2PC3,"Aliens, Curses and Nazis: Archaeology and Hollywood"
21,ANTHROP 2R03,"Religion, Magic and Witchcraft"
22,ANTHROP 2RP3,Religion and Power in the Past
23,ANTHROP 2ST3,Special Topics in Anthropology - Level II
24,ANTHROP 2U03,Plagues and People
25,ANTHROP 2WA3,Neanderthals to Pyramids: Introduction to World Archaeology
26,ANTHROP 3AR3,Culture and Religion
27,ANTHROP 3AS3,Archaeology and Society
28,ANTHROP 3BA3,Special Topics in Biological Anthropology
29,ANTHROP 3BB3,Ancient Agriculture to Criminal Investigations: Paleoethnobotany in Practice
30,ANTHROP 3BD3,The Black Death
31,ANTHROP 3BF3,Bioarchaeological Field School
32,ANTHROP 3CA3,Ceramic Analysis
33,ANTHROP 3CC6,Archaeological Field School
34,ANTHROP 3DD3,Archaeology of Death
35,ANTHROP 3E03,Special Topics in Archaeology I
36,ANTHROP 3EE3,Special Topics in Archaeology II
37,ANTHROP 3ET3,"Ethics, Hope and Despair"
38,ANTHROP 3F03,Anthropology and the ‘Other’
39,ANTHROP 3FA3,Forensic Anthropology
40,ANTHROP 3FF3,Key Debates in Andean Archaeology
41,ANTHROP 3G03,Comparative Mythology
42,ANTHROP 3GG3,Anthropology of Contemporary Europe
43,ANTHROP 3GH3,Interdisciplinary Global Health Field Course: Maternal and Infant Health in Morocco
44,ANTHROP 3HD3,Children’s Health and Development
45,ANTHROP 3HH3,"Globalization, Social Justice and Human Rights"
46,ANTHROP 3IS3,Independent Study in Anthropology
47,ANTHROP 3K03,Archaeological Interpretation
48,ANTHROP 3LA3,Lithics Analysis
49,ANTHROP 3LD3,Learning from the Dead
50,ANTHROP 3LL3,Of Beauty and Violence
51,ANTHROP 3P03,Doing Ethnography: Research Methods
52,ANTHROP 3PA3,"Haudenosaunee Health, Diet and Traditional Botany"
53,ANTHROP 3PD3,Anthropological Perspectives and Debates
54,ANTHROP 3PH3,"Dissent, Power and History"
55,ANTHROP 3PP3,Paleopathology
56,ANTHROP 3SS3,Sacred Journeys
57,ANTHROP 3ST3,Anthropology of Postcolonial Science and Technology
58,ANTHROP 3TR3,"Tourism: Sex, Sun and Sightseeing"
59,ANTHROP 3W03,Special Topics in Anthropology
